Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
3	Waveform 1	1	35.96435547	37.06005859	70	200
3	Spectrogram 1	1	35.96435547	37.06005859	70	200
5	Waveform 1	1	86.62451172	88.23583984	80	200
5	Spectrogram 1	1	86.62451172	88.23583984	80	200
9	Waveform 1	1	122.0092773	123.362793	80	200
9	Spectrogram 1	1	122.0092773	123.362793	80	200
11	Waveform 1	1	143.987793	145.1479492	90	200
11	Spectrogram 1	1	143.987793	145.1479492	90	200
12	Waveform 1	1	158.8120117	159.9077148	70	210
12	Spectrogram 1	1	158.8120117	159.9077148	70	210
14	Waveform 1	1	168.9311523	170.0268555	60	190
14	Spectrogram 1	1	168.9311523	170.0268555	60	190
19	Waveform 1	1	189.5561523	191.1030273	60	170
19	Spectrogram 1	1	189.5561523	191.1030273	60	170
22	Waveform 1	1	212.2436523	213.3393555	60	180
22	Spectrogram 1	1	212.2436523	213.3393555	60	180
23	Waveform 1	1	224.5541992	225.2631836	70	160
23	Spectrogram 1	1	224.5541992	225.2631836	70	160
25	Waveform 1	1	240.6674805	242.2143555	60	170
25	Spectrogram 1	1	240.6674805	242.2143555	60	170
29	Waveform 1	1	290.425293	291.8432617	60	170
29	Spectrogram 1	1	290.425293	291.8432617	60	170
30	Waveform 1	1	298.159668	299.1264648	70	170
30	Spectrogram 1	1	298.159668	299.1264648	70	170
31	Waveform 1	1	309.6323242	310.3413086	80	150
31	Spectrogram 1	1	309.6323242	310.3413086	80	150
34	Waveform 1	1	339.8608398	341.2143555	60	170
34	Spectrogram 1	1	339.8608398	341.2143555	60	170
38	Waveform 1	1	365.5776367	368.6069336	60	250
38	Spectrogram 1	1	365.5776367	368.6069336	60	250
41	Waveform 1	1	397.7397461	398.706543	70	140
41	Spectrogram 1	1	397.7397461	398.706543	70	140
42	Waveform 1	1	405.925293	407.1499023	70	190
42	Spectrogram 1	1	405.925293	407.1499023	70	190
43	Waveform 1	1	429.9018555	430.2885742	60	100
43	Spectrogram 1	1	429.9018555	430.2885742	60	100
44	Waveform 1	1	434.1557617	434.8647461	70	120
44	Spectrogram 1	1	434.1557617	434.8647461	70	120
45	Waveform 1	1	437.5717773	438.0874023	120	190
45	Spectrogram 1	1	437.5717773	438.0874023	120	190
46	Waveform 1	1	446.9174805	448.4643555	60	180
46	Spectrogram 1	1	446.9174805	448.4643555	60	180
47	Waveform 1	1	452.6538086	452.9116211	90	130
47	Spectrogram 1	1	452.6538086	452.9116211	90	130
48	Waveform 1	1	456.3920898	456.9077148	90	160
48	Spectrogram 1	1	456.3920898	456.9077148	90	160
52	Waveform 1	1	473.7944336	474.8901367	60	160
52	Spectrogram 1	1	473.7944336	474.8901367	60	160
53	Waveform 1	1	489.7143555	490.7456055	70	160
53	Spectrogram 1	1	489.7143555	490.7456055	70	160
55	Waveform 1	1	509.6948242	511.0483398	70	200
55	Spectrogram 1	1	509.6948242	511.0483398	70	200
61	Waveform 1	1	561.644043	562.7397461	60	160
61	Spectrogram 1	1	561.644043	562.7397461	60	160
62	Waveform 1	1	574.8569336	575.1791992	70	140
62	Spectrogram 1	1	574.8569336	575.1791992	70	140
70	Waveform 1	1	679.3354492	680.3022461	70	210
70	Spectrogram 1	1	679.3354492	680.3022461	70	210
77	Waveform 1	1	764.1557617	765.315918	80	180
77	Spectrogram 1	1	764.1557617	765.315918	80	180
84	Waveform 1	1	836.2788086	837.6323242	60	200
84	Spectrogram 1	1	836.2788086	837.6323242	60	200
88	Waveform 1	1	883.0073242	884.1674805	60	190
88	Spectrogram 1	1	883.0073242	884.1674805	60	190
